Unique donor ID,Total donations in 2017,Total donations in 2018,Total donations in 2019,Total donations in 2020,Total donations in 2021,Totan donations in 2022,Total donations in 2023,Amount of first donation,Date of first donation,Was their first donation an automatically-recurring transaction?,Amount of last donation,Date of last donation,Year with the most dollars donated,Highest amount donated in one year
003i000004XNbfzAAD,$40.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$40.00,3/18/2017,0,$40.00,3/18/2017,2017,$40.00
0031Y00005inXmNQAU,$0.00,$100.00,$0.00,$0.00,$0.00,$0.00,$0.00,$100.00,12/14/2018,0,$100.00,12/14/2018,2018,$100.00
0031Y00005CZMqaQAH,$0.00,$5.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.00,6/20/2018,0,$5.00,6/20/2018,2018,$5.00
0031Y00004rJ0M3QAK,$250.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$250.00,10/20/2017,0,$250.00,10/20/2017,2017,$250.00
0031Y00005WTne2QAD,$0.00,$55.00,$0.00,$0.00,$700.00,$0.00,$0.00,$5.00,11/27/2018,0,$700.00,3/26/2021,2021,$700.00
0031Y00005CZNItQAP,$0.00,$40.00,$0.00,$0.00,$0.00,$0.00,$0.00,$40.00,6/20/2018,0,$40.00,6/20/2018,2018,$40.00
0031Y00005WTnmGQAT,$0.00,$25.00,$0.00,$0.00,$0.00,$0.00,$0.00,$25.00,11/27/2018,0,$25.00,11/27/2018,2018,$25.00
0031Y00004rJ0WwQAK,$529.00,$656.00,"$1,836.00",$0.00,$0.00,$0.00,$0.00,$188.23,6/28/2017,0,"$1,836.00",6/26/2019,2019,"$1,836.00"
0031Y00005inXnSQAU,$0.00,$300.00,$0.00,$0.00,$0.00,$0.00,$0.00,$25.00,2/28/2018,0,$25.00,1/3/2019,2018,$300.00
0031Y00005CWrfKQAT,$0.00,$20.00,$0.00,$0.00,$0.00,$0.00,$0.00,$20.00,5/7/2018,0,$20.00,5/7/2018,2018,$20.00
0031Y00004wf56EQAQ,$50.00,$600.00,$0.00,$0.00,$0.00,$0.00,$0.00,$50.00,1/9/2018,1,$50.00,1/9/2019,2018,$600.00
0031Y00005vmTztQAE,$0.00,$0.00,$110.00,$150.00,$0.00,$0.00,$0.00,$110.00,12/10/2019,0,$150.00,12/31/2020,2020,$150.00
003i000004XOgh2AAD,$400.00,$100.00,$0.00,$0.00,$0.00,$0.00,$0.00,$100.00,3/21/2017,1,$100.00,3/21/2018,2017,$400.00
0031Y000060l9EfQAI,$0.00,$0.00,$0.00,$5.00,$0.00,$0.00,$0.00,$5.00,2/9/2020,0,$5.00,2/9/2020,2020,$5.00
0031Y00005vrhDdQAI,$0.00,$0.00,$100.00,$0.00,"$2,000.00",$0.00,$0.00,$100.00,12/11/2019,0,"$2,000.00",9/5/2021,2021,"$2,000.00"
0031Y00005WTpYrQAL,$0.00,$25.00,$0.00,$50.00,$0.00,$0.00,$0.00,$25.00,11/27/2018,0,$50.00,12/1/2020,2020,$50.00
0031Y00005vrxYzQAI,$0.00,$0.00,$100.00,$0.00,$0.00,$0.00,$0.00,$100.00,12/11/2019,0,$100.00,12/11/2019,2019,$100.00
0031Y000060lAlYQAU,$0.00,$0.00,$0.00,$50.00,$0.00,$0.00,$0.00,$50.00,2/10/2020,0,$50.00,2/10/2020,2020,$50.00
0031Y00005vsHCeQAM,$0.00,$0.00,$400.00,"$2,728.50","$4,070.00","$6,033.45","$6,428.30",$200.00,12/11/2019,1,$200.00,4/10/2024,2023,"$6,428.30"
0031Y00005WVPuYQAX,$0.00,$200.00,$0.00,$0.00,$0.00,$0.00,$0.00,$200.00,12/24/2018,0,$200.00,12/24/2018,2018,$200.00
0031Y00005WVPvtQAH,$0.00,$26.00,$0.00,$0.00,$0.00,$0.00,$0.00,$25.78,12/24/2018,0,$25.78,12/24/2018,2018,$25.78
003i000004XPeBxAAL,$17.00,$37.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.80,9/29/2017,0,$6.18,4/6/2018,2018,$37.08
0031Y00004rIneLQAS,$50.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$50.00,6/19/2017,0,$50.00,6/19/2017,2017,$50.00
003i000004XPgEyAAL,"$2,261.00","$1,320.00",$0.00,"$1,320.00","$2,640.00",$0.00,"$1,320.00",$364.00,3/24/2017,0,"$1,320.00",9/12/2023,2021,"$2,640.00"
0031Y00004rJ20zQAC,$3.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$2.50,10/15/2017,0,$2.50,10/15/2017,2017,$2.50
0031Y000060lHGxQAM,$0.00,$0.00,$0.00,$300.00,$0.00,$400.00,$500.00,$300.00,2/11/2020,0,$500.00,12/24/2023,2023,$500.00
0031Y00004rJ21nQAC,$50.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$50.00,10/21/2017,0,$50.00,10/21/2017,2017,$50.00
0031Y00005inXqnQAE,$0.00,$120.00,$0.00,$0.00,$0.00,$0.00,$0.00,$10.00,2/7/2018,0,$10.00,1/7/2019,2018,$120.00
0031Y00005vt0JfQAI,$0.00,$0.00,$20.00,$0.00,$0.00,$0.00,$0.00,$20.00,12/11/2019,0,$20.00,12/11/2019,2019,$20.00
0031Y00005inXs8QAE,$0.00,$120.00,$0.00,$0.00,$0.00,$0.00,$0.00,$10.00,2/16/2018,0,$10.00,1/16/2019,2018,$120.00
0031Y00004rInfJQAS,$106.00,$213.00,$17.00,$0.00,$0.00,$0.00,$0.00,$17.17,7/20/2017,0,$16.99,2/13/2019,2018,$212.90
0031Y00005inXt1QAE,$0.00,$84.00,$0.00,$0.00,$0.00,$0.00,$0.00,$7.00,2/23/2018,0,$7.00,1/23/2019,2018,$84.00
003i000004LcIorAAF,$0.00,$0.00,$0.00,$0.00,$0.00,$72.10,$0.00,$75.00,1/1/2017,0,$72.10,12/31/2022,2016,$75.00
0031Y00005WVQBpQAP,$0.00,$70.00,$0.00,$0.00,$0.00,$0.00,$0.00,$70.11,12/24/2018,0,$70.11,12/24/2018,2018,$70.11
0031Y00005vtqZyQAI,$0.00,$0.00,$17.00,$0.00,$0.00,$0.00,$0.00,$16.50,12/12/2019,0,$16.50,12/12/2019,2019,$16.50
0031Y00005inXthQAE,$0.00,$20.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.00,2/25/2018,0,$5.00,5/25/2018,2018,$20.00
003i000004LcLuyAAF,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$10.00,1/2/2017,0,$10.00,1/2/2017,2016,$10.00
003i000004LcMcBAAV,$0.00,$0.00,$0.00,$0.00,"$3,300.00",$0.00,$0.00,$330.00,1/2/2017,0,"$3,300.00",1/11/2022,2021,"$3,300.00"
003i000004bB2bEAAS,$350.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$350.00,3/29/2017,0,$350.00,3/29/2017,2017,$350.00
0031Y00005WTrR0QAL,$0.00,$20.00,$0.00,$0.00,$0.00,$0.00,$0.00,$2.00,11/27/2018,0,$2.00,11/28/2018,2018,$19.80
0031Y00005inXvZQAU,$0.00,"$1,080.00",$0.00,$0.00,$0.00,$0.00,$0.00,$30.00,2/6/2018,0,$60.00,1/23/2019,2018,"$1,080.00"
0031Y00005WVQQ2QAP,$0.00,$6.00,$0.00,$0.00,$0.00,$0.00,$0.00,$6.44,12/24/2018,0,$6.44,12/24/2018,2018,$6.44
0031Y00005CXarTQAT,$0.00,$90.00,$0.00,$0.00,$0.00,$0.00,$0.00,$15.00,5/18/2018,1,$15.00,10/18/2018,2018,$90.00
0031Y00004rInkLQAS,$87.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$12.49,8/10/2017,0,$10.00,11/8/2017,2017,$87.40
0031Y00005CXb25QAD,$0.00,$20.00,$0.00,$0.00,$0.00,$206.00,$0.00,$20.00,5/19/2018,0,$206.00,12/7/2022,2022,$206.00
0031Y000061J7dtQAC,$0.00,$0.00,$0.00,$55.00,$0.00,$0.00,$0.00,$55.00,4/7/2020,0,$55.00,4/7/2020,2020,$55.00
0031Y00005CXbrIQAT,$0.00,$100.00,$0.00,$0.00,$0.00,$0.00,$0.00,$100.00,5/20/2018,0,$100.00,5/20/2018,2018,$100.00
0031Y00004rIntgQAC,$40.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$40.00,10/6/2017,0,$40.00,10/6/2017,2017,$40.00
0031Y00005inXz9QAE,$0.00,$360.00,$0.00,$0.00,$0.00,$0.00,$0.00,$30.00,2/12/2018,0,$30.00,1/12/2019,2018,$360.00
0031Y00005wBmuoQAC,$0.00,$0.00,$100.00,$0.00,$0.00,$0.00,$0.00,$100.00,12/14/2019,0,$100.00,12/14/2019,2019,$100.00
0031Y00005wBww4QAC,$0.00,$0.00,$770.00,$0.00,$0.00,$0.00,$0.00,$770.00,12/14/2019,0,$770.00,12/14/2019,2019,$770.00
0031Y00005wCfsaQAC,$0.00,$0.00,$25.00,$0.00,$0.00,$0.00,$0.00,$25.00,12/14/2019,0,$25.00,12/14/2019,2019,$25.00
0031Y00005inXzYQAU,$0.00,$360.00,$0.00,$0.00,$0.00,$0.00,$0.00,$30.00,2/9/2018,0,$30.00,1/9/2019,2018,$360.00
0031Y00005WTtrXQAT,$0.00,$100.00,$0.00,$0.00,$0.00,$0.00,$0.00,$100.00,11/28/2018,0,$100.00,11/28/2018,2018,$100.00
0031Y00005inY04QAE,$0.00,$360.00,$0.00,$0.00,$0.00,$0.00,$0.00,$30.00,2/24/2018,0,$30.00,1/24/2019,2018,$360.00
0031Y00005JkjsSQAR,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$65.00,$65.00,12/31/2023,0,$65.00,12/31/2023,2023,$65.00
0031Y00004rJ2ryQAC,$12.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$11.75,9/25/2017,0,$11.75,9/25/2017,2017,$11.75
0031Y00005WTty3QAD,$0.00,$550.00,$0.00,$242.00,$264.00,$264.00,$264.00,$100.00,11/28/2018,0,$22.00,5/3/2024,2018,$550.00
0031Y00005WVQmbQAH,$0.00,$25.00,$0.00,$0.00,$0.00,$0.00,$0.00,$25.00,12/24/2018,0,$25.00,12/24/2018,2018,$25.00
0031Y00005JkjzmQAB,$0.00,$0.00,$0.00,$20.00,$0.00,$0.00,$0.00,$20.00,5/6/2020,0,$20.00,5/6/2020,2020,$20.00
0031Y00005WVQmjQAH,$0.00,$6.00,$0.00,$0.00,$0.00,$0.00,$0.00,$6.00,12/24/2018,0,$6.00,12/24/2018,2018,$6.00
0031Y00005WVQpyQAH,$0.00,$20.00,$0.00,$0.00,$0.00,$0.00,$0.00,$20.00,12/24/2018,0,$20.00,12/24/2018,2018,$20.00
0031Y00005wHJHeQAO,$0.00,$0.00,$660.00,$500.00,$0.00,$0.00,$0.00,$660.00,12/15/2019,0,$500.00,11/20/2020,2019,$660.00
0031Y00005WVQqOQAX,$0.00,$20.00,$0.00,$0.00,$0.00,$0.00,$0.00,$20.00,12/24/2018,0,$20.00,12/24/2018,2018,$20.00
0031Y00005WVQqSQAX,$0.00,$25.00,$0.00,$0.00,$0.00,$0.00,$0.00,$25.00,12/24/2018,0,$25.00,12/24/2018,2018,$25.00
0031Y00004rJ349QAC,$30.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$10.00,3/15/2017,0,$20.00,10/23/2017,2017,$30.00
0031Y00005WVQr8QAH,$0.00,$100.00,$0.00,$0.00,$0.00,$0.00,$0.00,$100.00,12/24/2018,0,$100.00,12/24/2018,2018,$100.00
0031Y00005WVQupQAH,$0.00,$25.00,$90.00,$0.00,$0.00,$0.00,$0.00,$25.00,12/24/2018,0,$90.00,11/29/2019,2019,$90.00
0031Y00005JkkE0QAJ,$0.00,$0.00,$175.00,$206.31,$0.00,$0.00,$0.00,$17.58,2/1/2019,0,$18.85,12/9/2020,2020,$206.31
0031Y00005JkkESQAZ,$0.00,$0.00,$0.00,$3.79,$0.00,$0.00,$0.00,$3.79,10/1/2020,0,$3.79,10/1/2020,2020,$3.79
0031Y00005WTuUYQA1,$0.00,$90.00,$360.00,$360.00,$360.00,$0.00,$0.00,$30.00,11/28/2018,1,$30.00,1/28/2022,2019,$360.00
0031Y00005dqnCnQAI,$0.00,$0.00,$1.00,$0.00,$0.00,$0.00,$0.00,$1.00,2/7/2019,0,$1.00,2/7/2019,2019,$1.00
0031Y00005Jkka9QAB,$0.00,$0.00,$0.00,$0.00,$0.00,$100.00,$0.00,$100.00,1/6/2023,0,$100.00,1/6/2023,2022,$100.00
0031Y00005dqnJkQAI,$0.00,$0.00,$8.00,$0.00,$0.00,$0.00,$0.00,$2.00,2/1/2019,0,$2.00,2/4/2019,2019,$8.00
0031Y000054Im1XQAS,$0.00,"$4,525.00",$390.00,$0.00,$0.00,$0.00,$0.00,$772.10,3/23/2018,0,$389.84,2/15/2019,2018,"$4,524.95"
0031Y00004wfMpPQAU,$17.00,$204.00,$51.00,$0.00,$0.00,$0.00,$0.00,$17.00,1/16/2018,1,$17.00,4/16/2019,2018,$204.00
0031Y00005wMSI8QAO,$0.00,$0.00,$60.00,$120.00,$0.00,$0.00,$0.00,$30.00,12/4/2019,1,$30.00,5/4/2020,2020,$120.00
0031Y00005inYQWQA2,$0.00,$360.00,$0.00,$0.00,$0.00,$0.00,$0.00,$30.00,2/25/2018,0,$30.00,1/25/2019,2018,$360.00
0031Y00005WTvBSQA1,$0.00,$100.00,$0.00,$0.00,$0.00,$0.00,$0.00,$100.00,11/28/2018,0,$100.00,11/28/2018,2018,$100.00
0031Y00004wfPoJQAU,$165.00,"$2,985.00","$6,000.00","$6,000.00","$11,170.00","$7,149.50","$6,000.00",$150.00,1/16/2018,1,$500.00,4/16/2024,2021,"$11,170.00"
0031Y00005dqskQQAQ,$0.00,$0.00,$20.00,"$1,050.00","$1,500.00","$1,800.00","$1,800.00",$20.00,2/2/2019,0,$150.00,4/26/2024,2022,"$1,800.00"
0031Y00005sXj7XQAS,$0.00,$0.00,$40.00,$120.00,$20.00,$0.00,$0.00,$10.00,10/23/2019,1,$10.00,3/23/2021,2020,$120.00
0031Y00005sXj9TQAS,$0.00,$0.00,$220.00,$660.00,$660.00,$660.00,$660.00,$50.00,10/23/2019,1,$55.00,4/23/2024,2020,$660.00
0031Y00005inYYEQA2,$0.00,$0.00,$250.00,$50.00,$300.00,$250.00,$0.00,$25.00,4/18/2019,1,$50.00,6/21/2022,2021,$300.00
0031Y00005WVRrYQAX,$0.00,$20.00,$0.00,$0.00,$0.00,$0.00,$0.00,$20.01,12/25/2018,0,$20.01,12/25/2018,2018,$20.01
0031Y000054IsFtQAK,$0.00,"$2,989.00",$226.00,$0.00,$0.00,$0.00,$0.00,$648.52,3/27/2018,0,$225.54,2/16/2019,2018,"$2,988.85"
0031Y000054Iu4dQAC,$0.00,$4.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1.12,3/25/2018,1,$2.00,4/28/2018,2018,$4.24
0031Y00004rIy9EQAS,$39.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$39.20,8/7/2017,0,$39.20,8/7/2017,2017,$39.20
0031Y00005sY80QQAS,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.00,$5.00,12/7/2023,0,$5.00,12/7/2023,2023,$5.00
0031Y00005inYefQAE,$0.00,$90.00,$0.00,$0.00,$0.00,$0.00,$0.00,$90.00,2/18/2018,0,$90.00,2/18/2018,2018,$90.00
0031Y00005WTzk5QAD,$0.00,$20.00,$0.00,$0.00,$0.00,$0.00,$0.00,$20.00,11/29/2018,0,$20.00,11/29/2018,2018,$20.00
0031Y00004rJ9g9QAC,$100.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$100.00,7/15/2017,0,$100.00,7/15/2017,2017,$100.00
0031Y00005WU0o2QAD,$0.00,$990.00,$55.00,"$1,606.00","$1,320.00","$1,150.00",$0.00,$900.00,11/30/2018,0,$710.00,6/28/2022,2020,"$1,606.00"
0031Y00005sYGBIQA4,$0.00,$0.00,$132.00,$396.00,$33.00,$0.00,$0.00,$30.00,10/27/2019,1,$33.00,2/27/2021,2020,$396.00
0031Y000054J3lXQAS,$0.00,$4.00,$0.00,$0.00,$0.00,$0.00,$0.00,$4.00,3/29/2018,0,$4.00,3/29/2018,2018,$4.00
0031Y00005inYiMQAU,$0.00,$180.00,$0.00,$0.00,$0.00,$0.00,$0.00,$30.00,2/16/2018,0,$30.00,7/16/2018,2018,$180.00
0031Y00004rJ9txQAC,$15.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$3.92,10/19/2017,0,$5.48,1/15/2018,2017,$14.67
0031Y00005inYjUQAU,$0.00,$60.00,$0.00,$0.00,$0.00,$0.00,$0.00,$20.00,2/27/2018,0,$20.00,4/27/2018,2018,$60.00
0031Y000054J9hWQAS,$0.00,$300.00,$0.00,$0.00,$0.00,$0.00,$0.00,$140.00,3/29/2018,0,$30.00,5/21/2018,2018,$300.00
0031Y00005dr4xTQAQ,$0.00,$30.00,$0.00,$0.00,$0.00,$0.00,$0.00,$30.23,1/25/2019,0,$30.23,1/25/2019,2018,$30.23
0031Y00004wfhNTQAY,$50.00,$600.00,$350.00,$0.00,$0.00,$0.00,$0.00,$25.00,1/22/2018,1,$25.00,8/30/2019,2018,$600.00
0031Y000054Fe3WQAS,$276.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$276.00,1/22/2018,0,$276.00,1/22/2018,2017,$276.00
0031Y000054J9nfQAC,$120.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$10.00,2/14/2017,0,$10.00,12/14/2017,2017,$120.00
0031Y00005WVSBYQA5,$0.00,$13.00,$0.00,$0.00,$0.00,$0.00,$0.00,$12.89,12/25/2018,0,$12.89,12/25/2018,2018,$12.89
0031Y00005WU4ixQAD,$0.00,$90.00,$0.00,$0.00,$0.00,$0.00,$0.00,$30.00,11/28/2018,0,$15.00,11/28/2018,2018,$90.00
0031Y00004rJCDtQAO,$20.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$20.00,9/15/2017,0,$20.00,9/15/2017,2017,$20.00
0031Y00005WVSF1QAP,$0.00,$200.00,$0.00,$0.00,$0.00,$0.00,$0.00,$200.00,12/25/2018,0,$200.00,12/25/2018,2018,$200.00
0031Y00005WVSFYQA5,$0.00,$12.00,$0.00,$0.00,$0.00,$0.00,$0.00,$11.69,12/25/2018,0,$11.69,12/25/2018,2018,$11.69
0031Y00005wOriMQAS,$0.00,$0.00,$100.00,$0.00,$0.00,$0.00,$0.00,$50.00,12/18/2019,0,$50.00,12/18/2019,2019,$100.00
0031Y000054J9o6QAC,$105.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$52.45,12/22/2017,0,$52.45,12/28/2017,2017,$104.90
0031Y000054J9o8QAC,$502.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$251.00,12/31/2017,0,$251.00,12/31/2017,2017,$502.00
0031Y00005WU5NZQA1,$0.00,$73.00,$0.00,$0.00,$0.00,$0.00,$0.00,$73.40,12/1/2018,0,$73.40,12/1/2018,2018,$73.40
0031Y00005inZ2qQAE,$0.00,$60.00,$0.00,$0.00,$0.00,$0.00,$0.00,$60.00,2/11/2018,0,$60.00,2/11/2018,2018,$60.00
0031Y00005wPPlZQAW,$0.00,$0.00,$847.00,$0.00,$0.00,$0.00,$0.00,$847.00,12/19/2019,0,$847.00,12/19/2019,2019,$847.00
0031Y000054J9okQAC,$100.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$100.00,11/28/2017,0,$100.00,11/28/2017,2017,$100.00
0031Y00005WU5pvQAD,$0.00,$25.00,$0.00,$0.00,$0.00,$0.00,$0.00,$25.00,11/28/2018,0,$25.00,11/28/2018,2018,$25.00
0031Y00004rJEtXQAW,$275.00,$0.00,$0.00,$0.00,$0.00,$50.00,$0.00,$275.19,9/14/2017,0,$10.00,12/15/2022,2017,$275.19
0031Y000054J9p1QAC,$50.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$50.00,8/27/2017,0,$50.00,8/27/2017,2017,$50.00
0031Y00005wRdxHQAS,$0.00,$0.00,$33.00,$198.00,$198.00,$183.00,$18.00,$16.50,12/19/2019,1,$1.50,4/19/2024,2020,$198.00
0031Y000054J9p7QAC,$809.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$75.00,5/21/2017,0,$104.60,1/15/2018,2017,$809.20
0031Y000061KC07QAG,$0.00,$0.00,$0.00,$2.45,$0.00,$0.00,$0.00,$1.00,4/21/2020,0,$1.45,9/30/2020,2020,$2.45
0031Y00005Ql6RGQAZ,$0.00,"$1,177.00","$13,102.00","$2,050.00","$2,250.00","$11,650.00","$29,478.90",$100.00,11/8/2018,0,"$4,000.00",4/2/2024,2023,"$29,478.90"
0031Y00005WU6DZQA1,$0.00,$50.00,$0.00,$0.00,$0.00,$0.00,$0.00,$50.00,12/2/2018,0,$50.00,12/2/2018,2018,$50.00
0031Y00005drP42QAE,$0.00,$0.00,$75.00,$0.00,$0.00,$0.00,$0.00,$75.00,2/11/2019,0,$75.00,2/11/2019,2019,$75.00
0031Y000061KChmQAG,$0.00,$0.00,$0.00,$400.00,$120.00,$0.00,$0.00,$40.00,4/21/2020,1,$40.00,4/21/2021,2020,$400.00
0031Y00005drPNiQAM,$0.00,$0.00,$104.00,$16.00,$0.00,$0.00,$0.00,$8.00,2/11/2019,0,$8.00,3/18/2020,2019,$104.00
0031Y00005wRuGLQA0,$0.00,$0.00,$25.00,$0.00,$0.00,$55.00,$51.50,$25.00,12/19/2019,0,$51.50,12/24/2023,2022,$55.00
0031Y000054Frb7QAC,$55.00,$495.00,$0.00,$0.00,$0.00,$0.00,$0.00,$50.00,1/25/2018,1,$5.00,10/25/2018,2018,$495.00
0031Y00005drQhfQAE,$0.00,$0.00,$100.00,$0.00,$0.00,$0.00,$0.00,$100.00,2/12/2019,0,$100.00,2/12/2019,2019,$100.00
0031Y00006AjDjSQAV,$0.00,$0.00,$0.00,$50.00,$200.00,$0.00,"$1,000.00",$50.00,12/24/2020,0,"$1,000.00",1/3/2024,2023,"$1,000.00"
0031Y000054FuwOQAS,$71.00,$603.00,$132.00,$2.00,$0.00,$0.00,$0.00,$71.18,1/27/2018,0,$1.00,6/25/2020,2018,$602.82
0031Y00004rJGrIQAW,$100.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$100.00,7/6/2017,0,$100.00,7/6/2017,2017,$100.00
0031Y00005inZF2QAM,$0.00,$25.00,$0.00,$0.00,$0.00,$0.00,$0.00,$25.00,2/6/2018,0,$25.00,2/6/2018,2018,$25.00
0031Y00005WVTbJQAX,$0.00,$114.00,$0.00,$0.00,$0.00,$0.00,$0.00,$114.00,12/26/2018,0,$114.00,12/26/2018,2018,$114.00
0031Y00005wS8kpQAC,$0.00,$0.00,$22.00,$60.50,$66.00,$66.00,$77.33,$22.00,12/20/2019,0,$5.50,5/2/2024,2023,$77.33
0031Y000054J9qCQAS,$7.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$7.00,11/2/2017,0,$7.00,11/2/2017,2017,$7.00
0031Y00005dre1BQAQ,$0.00,$0.00,$14.00,$0.00,$0.00,$0.00,$0.00,$7.12,2/13/2019,0,$7.17,2/28/2019,2019,$14.29
0031Y00005inZPAQA2,$0.00,$212.00,$0.00,$0.00,$0.00,$0.00,$0.00,$16.00,2/17/2018,0,$16.00,1/17/2019,2018,$212.00
0031Y00005wfYpEQAU,$0.00,$0.00,$165.00,$0.00,$0.00,$0.00,$0.00,$165.00,12/20/2019,0,$165.00,12/20/2019,2019,$165.00
0031Y000054J9r6QAC,$26.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$26.38,12/25/2017,0,$26.38,12/25/2017,2017,$26.38
0031Y000060lYiZQAU,$0.00,$0.00,$0.00,$27.50,$0.00,$0.00,$0.00,$27.50,2/13/2020,0,$27.50,2/13/2020,2020,$27.50
0031Y000054J9rRQAS,$50.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$50.00,12/13/2017,0,$50.00,12/13/2017,2017,$50.00
0031Y00005WVVZlQAP,$0.00,$900.00,$25.00,"$2,000.00",$0.00,$0.00,"$1,000.00",$900.00,12/26/2018,0,"$1,000.00",12/30/2023,2020,"$2,000.00"
0031Y00005WVVlzQAH,$0.00,$100.00,$0.00,$182.00,$132.00,$44.00,$0.00,$100.00,12/26/2018,0,$11.00,5/26/2022,2020,$182.00
0031Y000060ljt3QAA,$0.00,$0.00,$0.00,$240.00,$0.00,$480.00,$412.00,$50.00,2/14/2020,0,$206.00,2/11/2024,2022,$480.00
0031Y00004rJPB0QAO,$120.00,$360.00,$60.00,$44.00,$0.00,$0.00,$0.00,$30.00,10/29/2017,1,$44.00,2/9/2020,2018,$360.00
0031Y000054GJZEQA4,$0.00,$150.00,$0.00,$0.00,$0.00,$0.00,$0.00,$150.00,2/2/2018,0,$150.00,2/2/2018,2018,$150.00
0031Y00005whp8RQAQ,$0.00,$0.00,$50.00,$0.00,$0.00,$0.00,$0.00,$50.00,12/21/2019,0,$50.00,12/21/2019,2019,$50.00
0031Y00005whpGlQAI,$0.00,$0.00,"$1,000.00",$0.00,$0.00,$0.00,$0.00,"$1,000.00",12/21/2019,0,"$1,000.00",12/21/2019,2019,"$1,000.00"
0031Y000060lwQxQAI,$0.00,$0.00,$0.00,$132.00,$66.00,$0.00,$0.00,$11.00,2/16/2020,1,$11.00,7/16/2021,2020,$132.00
0031Y00005jks3tQAA,$0.00,$0.00,$1.00,$0.00,$0.00,$0.00,$0.00,$1.00,6/7/2019,0,$1.00,6/7/2019,2019,$1.00
0031Y00005inZbKQAU,$0.00,$633.00,$0.00,$0.00,$0.00,$0.00,$0.00,$632.54,3/10/2018,0,$632.54,3/10/2018,2018,$632.54
0031Y00005jksFQQAY,$0.00,$0.00,$88.00,$120.00,$120.00,$80.00,$0.00,$12.00,6/8/2019,1,$10.00,9/9/2022,2020,$120.00
0031Y00005wjBbzQAE,$0.00,$0.00,$220.00,$0.00,$880.00,$528.00,$0.00,$220.00,12/22/2019,0,$88.00,7/5/2022,2021,$880.00
0031Y00005WUGI8QAP,$0.00,$50.00,$250.00,$125.00,$300.00,$300.00,$25.00,$50.00,12/4/2018,0,$25.00,2/1/2023,2021,$300.00
0031Y000054J9t0QAC,$18.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$9.00,2/28/2017,0,$9.00,3/28/2017,2017,$18.00
0031Y00004rJa2HQAS,$33.00,$132.00,$132.00,$99.00,$0.00,$0.00,$0.00,$30.00,11/1/2017,1,$33.00,8/1/2020,2018,$132.00
0031Y00005jl1XXQAY,$0.00,$0.00,$28.00,$0.00,$0.00,$0.00,$0.00,$20.00,6/9/2019,0,$2.50,6/9/2019,2019,$27.50
0031Y00005wlJIuQAM,$0.00,$0.00,$0.00,$300.00,$0.00,$0.00,$0.00,$50.00,5/17/2020,1,$50.00,10/17/2020,2020,$300.00
0031Y000060mDq6QAE,$0.00,$0.00,$0.00,$10.00,$0.00,$0.00,$0.00,$10.00,2/19/2020,0,$10.00,2/19/2020,2020,$10.00
0031Y00005wlJIwQAM,$0.00,$0.00,$160.00,$0.00,$0.00,$0.00,$0.00,$160.00,12/22/2019,0,$160.00,12/22/2019,2019,$160.00
0031Y00005WVY2jQAH,$0.00,$982.00,$0.00,$0.00,$0.00,$0.00,$0.00,$981.58,12/27/2018,0,$981.58,12/27/2018,2018,$981.58
0031Y00005inZcXQAU,$0.00,$71.00,$47.00,$0.00,$0.00,$0.00,$0.00,$33.01,2/1/2018,0,$23.35,5/25/2019,2018,$71.16
